QuantitySold,Price,isPromoPeriod,TV,Online,StoresAvailability,Product_TXQQX,Product_TXQT7,Product_TXQTZ,Product_TXX00,Product_TXX06,Product_TXX5Q,Product_TXXX0,Product_TXZ06,Product_TZQAQ,Channel_B,Channel_C,Channel_D,Channel_E,Channel_F,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
91,3.5260273972602723,True,211183.53,5827.309,0.43,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20,6.488235294117651,False,0.0,0.0,0.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,6.4875,False,0.0,0.0,0.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,3.526097560975612,True,0.0,0.0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
27,3.99090909090909,False,184939.74,36749.266,0.06,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,3.670941176470584,True,0.0,0.0,0.66,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22581,4.779126637554583,True,0.0,0.0,0.96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
290,3.332680851063834,True,0.0,0.0,0.51,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
107,3.7161627906976737,True,0.0,0.0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
180,9.59413043478258,True,148069.21,0.0,0.48,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13683,4.811229934433636,True,0.0,0.0,0.89,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13928,4.524835345773876,True,0.0,0.0,0.92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19169,2.516921667430142,True,0.0,0.0,0.68,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
543,2.605306122448983,True,0.0,0.0,0.68,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14341,4.114957631152998,True,0.0,0.0,0.88,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13703,12.793672747580048,True,0.0,1400.0,0.89,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,5.48888888888889,False,0.0,0.0,0.22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,5.914814814814808,False,122737.3,23328.766,0.19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,9.13300000000002,True,0.0,0.0,0.45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23742,2.30500537489922,True,0.0,0.0,0.46,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
200,3.5195625,True,0.0,0.0,0.51,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
173,9.830217391304313,True,0.0,13014.990999999998,0.47,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
553,1.8683606557377093,True,0.0,0.0,0.71,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
29,11.9875,False,116072.24,4733.281,0.09,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19049,3.4585523342157902,False,0.0,0.0,0.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13764,4.790372369131132,True,0.0,0.0,0.89,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10392,2.53893772893773,True,122981.07,0.0,0.01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
89,3.396249999999999,True,0.0,0.0,0.37,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
24,11.99,False,128483.51,30192.122,0.06,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
259,9.306617647058822,True,0.0,0.0,0.56,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36,6.49,False,0.0,0.0,0.19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6591,3.4961972667855,True,177449.07,11118.877,0.01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
179,3.1130136986301364,False,0.0,0.0,0.51,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28912,3.42298221614227,True,0.0,0.0,0.42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11206,3.47484526967286,True,0.0,0.0,0.27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,3.821086956521736,False,0.0,0.0,0.52,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
30,0.976,False,146820.62,42176.254,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8256,2.5989445114595897,True,0.0,0.0,0.01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14283,3.35860086671973,True,0.0,0.0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5539,3.5640017865118394,True,0.0,0.0,0.01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13897,4.008713039263212,True,0.0,0.0,0.84,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,9.29793103448274,True,157125.13,12276.264,0.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
79,3.11203125,True,0.0,0.0,0.44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
237,8.06817679558011,True,0.0,0.0,0.68,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16261,4.777492955478628,True,0.0,0.0,0.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,12.826119402985102,False,0.0,0.0,0.47,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,5.908771929824559,False,0.0,0.0,0.24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14447,4.556958784879256,True,0.0,0.0,0.88,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,12.3845070422535,True,0.0,0.0,0.53,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14437,4.566664217487148,True,0.0,0.0,0.86,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,3.51178217821782,False,0.0,0.0,0.47,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18714,4.78511886341258,True,0.0,0.0,0.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17082,4.818953159383845,True,0.0,0.0,0.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
291,1.843043478260868,True,0.0,0.0,0.69,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15855,4.525862472812451,True,0.0,0.0,0.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,3.559137931034487,False,0.0,0.0,0.51,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5835,3.51513385146805,True,0.0,0.0,0.02,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8836,9.90015311804009,False,155219.94,0.0,0.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14945,3.4581207942178303,True,0.0,0.0,0.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12192,10.341204074625155,True,0.0,0.0,0.84,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
